PERIODO,MES,TIPO,ENTIDAD,MONEDA,TC,RESULTADO_NETO
2025,Marzo,BANCA MULTIPLE,Banco BBVA Perú,MN,3.668,429343.16674
2025,Marzo,BANCA MULTIPLE,Banco BBVA Perú,ME,3.668,105270.74359999999
2025,Marzo,BANCA MULTIPLE,Banco BBVA Perú,TOTAL,3.668,534613.91034
2025,Marzo,BANCA MULTIPLE,BANCOM,MN,3.668,1139.71705
2025,Marzo,BANCA MULTIPLE,BANCOM,ME,3.668,1644.2269199999998
2025,Marzo,BANCA MULTIPLE,BANCOM,TOTAL,3.668,2783.94397
2025,Marzo,BANCA MULTIPLE,Banco de Crédito del Perú,MN,3.668,819148.1437
2025,Marzo,BANCA MULTIPLE,Banco de Crédito del Perú,ME,3.668,756634.23102
2025,Marzo,BANCA MULTIPLE,Banco de Crédito del Perú,TOTAL,3.668,1575782.37472
2025,Marzo,BANCA MULTIPLE,Banco Pichincha,MN,3.668,21417.12312
2025,Marzo,BANCA MULTIPLE,Banco Pichincha,ME,3.668,-7187.05454
2025,Marzo,BANCA MULTIPLE,Banco Pichincha,TOTAL,3.668,14230.06858
2025,Marzo,BANCA MULTIPLE,Banco Interamericano de Finanzas,MN,3.668,-1576.4568599999998
2025,Marzo,BANCA MULTIPLE,Banco Interamericano de Finanzas,ME,3.668,58696.60568
2025,Marzo,BANCA MULTIPLE,Banco Interamericano de Finanzas,TOTAL,3.668,57120.14882
2025,Marzo,BANCA MULTIPLE,Scotiabank Perú,MN,3.668,281345.01347
2025,Marzo,BANCA MULTIPLE,Scotiabank Perú,ME,3.668,184565.76002000002
2025,Marzo,BANCA MULTIPLE,Scotiabank Perú,TOTAL,3.668,465910.77349
2025,Marzo,BANCA MULTIPLE,Citibank,MN,3.668,65246.96183
2025,Marzo,BANCA MULTIPLE,Citibank,ME,3.668,26703.286350000002
2025,Marzo,BANCA MULTIPLE,Citibank,TOTAL,3.668,91950.24818000001
2025,Marzo,BANCA MULTIPLE,Interbank,MN,3.668,217023.24998
2025,Marzo,BANCA MULTIPLE,Interbank,ME,3.668,124245.12144
2025,Marzo,BANCA MULTIPLE,Interbank,TOTAL,3.668,341268.37142000004
2025,Marzo,BANCA MULTIPLE,Mibanco,MN,3.668,132378.48817
2025,Marzo,BANCA MULTIPLE,Mibanco,ME,3.668,-21972.509
2025,Marzo,BANCA MULTIPLE,Mibanco,TOTAL,3.668,110405.97917
2025,Marzo,BANCA MULTIPLE,Banco GNB,MN,3.668,15077.73142
2025,Marzo,BANCA MULTIPLE,Banco GNB,ME,3.668,-5643.92511
2025,Marzo,BANCA MULTIPLE,Banco GNB,TOTAL,3.668,9433.80631
2025,Marzo,BANCA MULTIPLE,Banco Falabella Perú,MN,3.668,86288.00486
2025,Marzo,BANCA MULTIPLE,Banco Falabella Perú,ME,3.668,-36390.94492
2025,Marzo,BANCA MULTIPLE,Banco Falabella Perú,TOTAL,3.668,49897.05994
2025,Marzo,BANCA MULTIPLE,Banco Santander Perú,MN,3.668,-19490.50177
2025,Marzo,BANCA MULTIPLE,Banco Santander Perú,ME,3.668,89920.07476999999
2025,Marzo,BANCA MULTIPLE,Banco Santander Perú,TOTAL,3.668,70429.573
2025,Marzo,BANCA MULTIPLE,Banco Ripley,MN,3.668,28743.19336
2025,Marzo,BANCA MULTIPLE,Banco Ripley,ME,3.668,-16252.619789999999
2025,Marzo,BANCA MULTIPLE,Banco Ripley,TOTAL,3.668,12490.57357
2025,Marzo,BANCA MULTIPLE,Alfin Banco,MN,3.668,3522.7378900000003
2025,Marzo,BANCA MULTIPLE,Alfin Banco,ME,3.668,-1979.91874
2025,Marzo,BANCA MULTIPLE,Alfin Banco,TOTAL,3.668,1542.8191499999998
2025,Marzo,BANCA MULTIPLE,Banco ICBC,MN,3.668,1938.2439500000003
2025,Marzo,BANCA MULTIPLE,Banco ICBC,ME,3.668,2451.05317
2025,Marzo,BANCA MULTIPLE,Banco ICBC,TOTAL,3.668,4389.29712
2025,Marzo,BANCA MULTIPLE,Bank of China,MN,3.668,4428.732639999999
2025,Marzo,BANCA MULTIPLE,Bank of China,ME,3.668,4314.864259999999
2025,Marzo,BANCA MULTIPLE,Bank of China,TOTAL,3.668,8743.5969
2025,Marzo,BANCA MULTIPLE,Banco BCI Perú,MN,3.668,-23788.95407
2025,Marzo,BANCA MULTIPLE,Banco BCI Perú,ME,3.668,35487.45187
2025,Marzo,BANCA MULTIPLE,Banco BCI Perú,TOTAL,3.668,11698.497800000001
2025,Marzo,BANCA MULTIPLE,Compartamos Banco,MN,3.668,38081.56065
2025,Marzo,BANCA MULTIPLE,Compartamos Banco,ME,3.668,-5065.98439
2025,Marzo,BANCA MULTIPLE,Compartamos Banco,TOTAL,3.668,33015.57626
2025,Marzo,BANCA MULTIPLE,Total Banca Múltiple,MN,3.668,2100266.15613
2025,Marzo,BANCA MULTIPLE,Total Banca Múltiple,ME,3.668,1295440.4626099996
2025,Marzo,BANCA MULTIPLE,Total Banca Múltiple,TOTAL,3.668,3395706.6187400003
2025,Marzo,BANCA MULTIPLE,Banco de Crédito con Sucursales en el Exterior,MN,3.668,819148.1437
2025,Marzo,BANCA MULTIPLE,Banco de Crédito con Sucursales en el Exterior,ME,3.668,756634.23097
2025,Marzo,BANCA MULTIPLE,Banco de Crédito con Sucursales en el Exterior,TOTAL,3.668,1575782.37467
2025,Marzo,BANCA MULTIPLE,"Total Banca Múltiple 
Incluye Sucursales en el Exterior",MN,3.668,2100266.15613
