FECHA,INDICADOR,IPC,MENSUAL,ACUMULADO,ANUAL
2022-01-01,Alimentos y bebidas no alcohólicas,100.29,NA,NA,NA
2022-02-01,Alimentos y bebidas no alcohólicas,100.59,0.3,NA,NA
2022-03-01,Alimentos y bebidas no alcohólicas,103.74,3.1,NA,NA
2022-04-01,Alimentos y bebidas no alcohólicas,106.65,2.8,NA,NA
2022-05-01,Alimentos y bebidas no alcohólicas,105.89,-0.7,NA,NA
2022-06-01,Alimentos y bebidas no alcohólicas,107.59,1.6,NA,NA
2022-07-01,Alimentos y bebidas no alcohólicas,109.49,1.8,NA,NA
2022-08-01,Alimentos y bebidas no alcohólicas,111,1.4,NA,NA
2022-09-01,Alimentos y bebidas no alcohólicas,112.65,1.5,NA,NA
2022-10-01,Alimentos y bebidas no alcohólicas,113.1,0.4,NA,NA
2022-11-01,Alimentos y bebidas no alcohólicas,113.72,0.5,NA,NA
2022-12-01,Alimentos y bebidas no alcohólicas,115.22,1.3,NA,NA
2023-01-01,Alimentos y bebidas no alcohólicas,116.71,1.3,1.3,16.4
2023-02-01,Alimentos y bebidas no alcohólicas,117.67,0.8,2.1,17
2023-03-01,Alimentos y bebidas no alcohólicas,120.39,2.3,4.5,16
2023-04-01,Alimentos y bebidas no alcohólicas,121.86,1.2,5.8,14.3
2023-05-01,Alimentos y bebidas no alcohólicas,122.83,0.8,6.6,16
2023-06-01,Alimentos y bebidas no alcohólicas,121.46,-1.1,5.4,12.9
2023-07-01,Alimentos y bebidas no alcohólicas,122.22,0.6,6.1,11.6
2023-08-01,Alimentos y bebidas no alcohólicas,123.41,1,7.1,11.2
2023-09-01,Alimentos y bebidas no alcohólicas,122.81,-0.5,6.6,9
2023-10-01,Alimentos y bebidas no alcohólicas,120.68,-1.7,4.7,6.7
2023-11-01,Alimentos y bebidas no alcohólicas,119,-1.4,3.3,4.6
2023-12-01,Alimentos y bebidas no alcohólicas,119.46,0.4,3.7,3.7
2024-01-01,Alimentos y bebidas no alcohólicas,119.56,0.1,0.1,2.4
2024-02-01,Alimentos y bebidas no alcohólicas,120.14,0.5,0.6,2.1
2024-03-01,Alimentos y bebidas no alcohólicas,122.21,1.7,2.3,1.5
2024-04-01,Alimentos y bebidas no alcohólicas,121.54,-0.5,1.7,-0.3
2024-05-01,Alimentos y bebidas no alcohólicas,120.37,-1,0.8,-2
2024-06-01,Alimentos y bebidas no alcohólicas,120.34,-0,0.7,-0.9
2024-07-01,Alimentos y bebidas no alcohólicas,120.69,0.3,1,-1.3
2024-08-01,Alimentos y bebidas no alcohólicas,121.85,1,2,-1.3
2024-09-01,Alimentos y bebidas no alcohólicas,121.14,-0.6,1.4,-1.4
2024-10-01,Alimentos y bebidas no alcohólicas,120.7,-0.4,1,0
2024-11-01,Alimentos y bebidas no alcohólicas,120.55,-0.1,0.9,1.3
2024-12-01,Alimentos y bebidas no alcohólicas,120.17,-0.3,0.6,0.6
2025-01-01,Alimentos y bebidas no alcohólicas,119.76,-0.3,-0.3,0.2
2025-02-01,Alimentos y bebidas no alcohólicas,119.52,-0.2,-0.5,-0.5
2025-03-01,Alimentos y bebidas no alcohólicas,121.49,1.6,1.1,-0.6
2025-04-01,Alimentos y bebidas no alcohólicas,122.61,0.9,2,0.9
2025-05-01,Alimentos y bebidas no alcohólicas,122.12,-0.4,1.6,1.5
2025-06-01,Alimentos y bebidas no alcohólicas,122.18,0,1.7,1.5
2025-07-01,Alimentos y bebidas no alcohólicas,122.54,0.3,2,1.5
2025-08-01,Alimentos y bebidas no alcohólicas,121.79,-0.6,1.3,-0
2025-09-01,Alimentos y bebidas no alcohólicas,121.8,0,1.4,0.5
2025-10-01,Alimentos y bebidas no alcohólicas,121.41,-0.3,1,0.6
2025-11-01,Alimentos y bebidas no alcohólicas,121.52,0.1,1.1,0.8
2025-12-01,Alimentos y bebidas no alcohólicas,121.41,-0.1,1,1
2026-01-01,Alimentos y bebidas no alcohólicas,121.76,0.3,0.3,1.7
2026-02-01,Alimentos y bebidas no alcohólicas,123.84,1.7,2,3.6
2026-03-01,Alimentos y bebidas no alcohólicas,127.51,3,5,5
2026-04-01,Alimentos y bebidas no alcohólicas,127.64,0.1,5.1,4.1
