FECHA,DEPARTAMENTO,INDICADOR,IPC,MENSUAL,ACUMULADO,ANUAL
2022-01-01,AMAZONAS,Alimentos y bebidas no alcohólicas,99.73,NA,NA,NA
2022-02-01,AMAZONAS,Alimentos y bebidas no alcohólicas,101.36,1.6,NA,NA
2022-03-01,AMAZONAS,Alimentos y bebidas no alcohólicas,105.05,3.6,NA,NA
2022-04-01,AMAZONAS,Alimentos y bebidas no alcohólicas,107.8,2.6,NA,NA
2022-05-01,AMAZONAS,Alimentos y bebidas no alcohólicas,108.4,0.6,NA,NA
2022-06-01,AMAZONAS,Alimentos y bebidas no alcohólicas,109.42,0.9,NA,NA
2022-07-01,AMAZONAS,Alimentos y bebidas no alcohólicas,110.42,0.9,NA,NA
2022-08-01,AMAZONAS,Alimentos y bebidas no alcohólicas,111.2,0.7,NA,NA
2022-09-01,AMAZONAS,Alimentos y bebidas no alcohólicas,112.49,1.2,NA,NA
2022-10-01,AMAZONAS,Alimentos y bebidas no alcohólicas,114.35,1.7,NA,NA
2022-11-01,AMAZONAS,Alimentos y bebidas no alcohólicas,114.68,0.3,NA,NA
2022-12-01,AMAZONAS,Alimentos y bebidas no alcohólicas,114.93,0.2,NA,NA
2023-01-01,AMAZONAS,Alimentos y bebidas no alcohólicas,113.92,-0.9,-0.9,14.2
2023-02-01,AMAZONAS,Alimentos y bebidas no alcohólicas,115.21,1.1,0.2,13.7
2023-03-01,AMAZONAS,Alimentos y bebidas no alcohólicas,119.58,3.8,4,13.8
2023-04-01,AMAZONAS,Alimentos y bebidas no alcohólicas,119.6,0,4.1,10.9
2023-05-01,AMAZONAS,Alimentos y bebidas no alcohólicas,120.57,0.8,4.9,11.2
2023-06-01,AMAZONAS,Alimentos y bebidas no alcohólicas,120.55,-0,4.9,10.2
2023-07-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121.46,0.8,5.7,10
2023-08-01,AMAZONAS,Alimentos y bebidas no alcohólicas,122.16,0.6,6.3,9.9
2023-09-01,AMAZONAS,Alimentos y bebidas no alcohólicas,123.31,0.9,7.3,9.6
2023-10-01,AMAZONAS,Alimentos y bebidas no alcohólicas,123.99,0.6,7.9,8.4
2023-11-01,AMAZONAS,Alimentos y bebidas no alcohólicas,122.19,-1.5,6.3,6.5
2023-12-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121.36,-0.7,5.6,5.6
2024-01-01,AMAZONAS,Alimentos y bebidas no alcohólicas,120.09,-1,-1,5.4
2024-02-01,AMAZONAS,Alimentos y bebidas no alcohólicas,120.38,0.2,-0.8,4.5
2024-03-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121.23,0.7,-0.1,1.4
2024-04-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121.24,0,-0.1,1.4
2024-05-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121.85,0.5,0.4,1.1
2024-06-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121.73,-0.1,0.3,1
2024-07-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121.7,-0,0.3,0.2
2024-08-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121.76,0,0.3,-0.3
2024-09-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121.63,-0.1,0.2,-1.4
2024-10-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121.98,0.3,0.5,-1.6
2024-11-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121.48,-0.4,0.1,-0.6
2024-12-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121.14,-0.3,-0.2,-0.2
2025-01-01,AMAZONAS,Alimentos y bebidas no alcohólicas,120.84,-0.2,-0.2,0.6
2025-02-01,AMAZONAS,Alimentos y bebidas no alcohólicas,120.09,-0.6,-0.9,-0.2
2025-03-01,AMAZONAS,Alimentos y bebidas no alcohólicas,120.5,0.3,-0.5,-0.6
2025-04-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121.17,0.6,0,-0.1
2025-05-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121.4,0.2,0.2,-0.4
2025-06-01,AMAZONAS,Alimentos y bebidas no alcohólicas,122.22,0.7,0.9,0.4
2025-07-01,AMAZONAS,Alimentos y bebidas no alcohólicas,122.42,0.2,1.1,0.6
2025-08-01,AMAZONAS,Alimentos y bebidas no alcohólicas,122.73,0.3,1.3,0.8
2025-09-01,AMAZONAS,Alimentos y bebidas no alcohólicas,122.18,-0.4,0.9,0.5
2025-10-01,AMAZONAS,Alimentos y bebidas no alcohólicas,120.6,-1.3,-0.4,-1.1
2025-11-01,AMAZONAS,Alimentos y bebidas no alcohólicas,120.06,-0.4,-0.9,-1.2
2025-12-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121,0.8,-0.1,-0.1
2026-01-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121.08,0.1,0.1,0.2
2026-02-01,AMAZONAS,Alimentos y bebidas no alcohólicas,121.9,0.7,0.7,1.5
2026-03-01,AMAZONAS,Alimentos y bebidas no alcohólicas,125.16,2.7,3.4,3.9
2026-04-01,AMAZONAS,Alimentos y bebidas no alcohólicas,126.57,1.1,4.6,4.5
2022-01-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",101.21,NA,NA,NA
2022-02-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",101.08,-0.1,NA,NA
2022-03-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",101.93,0.8,NA,NA
2022-04-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",101.51,-0.4,NA,NA
2022-05-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",101.21,-0.3,NA,NA
2022-06-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",102.04,0.8,NA,NA
2022-07-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",102.78,0.7,NA,NA
2022-08-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",102.49,-0.3,NA,NA
2022-09-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",101.58,-0.9,NA,NA
2022-10-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",101.7,0.1,NA,NA
2022-11-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",100.71,-1,NA,NA
2022-12-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",100.46,-0.2,NA,NA
2023-01-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",100.17,-0.3,-0.3,-1
2023-02-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",99.66,-0.5,-0.8,-1.4
2023-03-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",99.95,0.3,-0.5,-1.9
2023-04-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",99.78,-0.2,-0.7,-1.7
2023-05-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",99.64,-0.1,-0.8,-1.6
2023-06-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",99.05,-0.6,-1.4,-2.9
2023-07-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",98.27,-0.8,-2.2,-4.4
2023-08-01,AMAZONAS,"Alojamiento, agua, electricidad, gas y otros combustibles",97.11,-1.2,-3.3,-5.2
