FECHA,INDICADOR,IPC,MENSUAL,ACUMULADO,ANUAL
2014-01-01,General,100.025157,NA,NA,NA
2014-02-01,General,100.22934,0.2,NA,NA
2014-03-01,General,100.611395,0.4,NA,NA
2014-04-01,General,100.67067,0.1,NA,NA
2014-05-01,General,100.854473,0.2,NA,NA
2014-06-01,General,100.702046,-0.2,NA,NA
2014-07-01,General,100.804009,0.1,NA,NA
2014-08-01,General,101.015792,0.2,NA,NA
2014-09-01,General,101.363528,0.3,NA,NA
2014-10-01,General,101.861474,0.5,NA,NA
2014-11-01,General,101.790116,-0.1,NA,NA
2014-12-01,General,101.473342,-0.3,NA,NA
2015-01-01,General,101.158245,-0.3,-0.3,1.1
2015-02-01,General,101.512527,0.4,0,1.3
2015-03-01,General,102.210227,0.7,0.7,1.6
2015-04-01,General,102.161903,-0,0.7,1.5
2015-05-01,General,102.550119,0.4,1.1,1.7
2015-06-01,General,102.817342,0.3,1.3,2.1
2015-07-01,General,102.773215,-0,1.3,2
2015-08-01,General,103.024204,0.2,1.5,2
2015-09-01,General,103.255029,0.2,1.8,1.9
2015-10-01,General,103.27552,0,1.8,1.4
2015-11-01,General,104.021033,0.7,2.5,2.2
2015-12-01,General,104.101632,0.1,2.6,2.6
2016-01-01,General,104.129063,0,0,2.9
2016-02-01,General,104.371647,0.2,0.3,2.8
2016-03-01,General,104.065551,-0.3,-0,1.8
2016-04-01,General,103.366032,-0.7,-0.7,1.2
2016-05-01,General,103.286323,-0.1,-0.8,0.7
2016-06-01,General,103.864684,0.6,-0.2,1
2016-07-01,General,103.555669,-0.3,-0.5,0.8
2016-08-01,General,104.000491,0.4,-0.1,0.9
2016-09-01,General,104.821468,0.8,0.7,1.5
2016-10-01,General,105.30254,0.5,1.2,2
2016-11-01,General,105.531216,0.2,1.4,1.5
2016-12-01,General,106.095446,0.5,1.9,1.9
2017-01-01,General,106.131342,0,0,1.9
2017-02-01,General,105.469199,-0.6,-0.6,1.1
2017-03-01,General,105.895271,0.4,-0.2,1.8
2017-04-01,General,105.626725,-0.3,-0.4,2.2
2017-05-01,General,105.488294,-0.1,-0.6,2.1
2017-06-01,General,105.350833,-0.1,-0.7,1.4
2017-07-01,General,105.236607,-0.1,-0.8,1.6
2017-08-01,General,105.432114,0.2,-0.6,1.4
2017-09-01,General,105.656033,0.2,-0.4,0.8
2017-10-01,General,105.577594,-0.1,-0.5,0.3
2017-11-01,General,105.407593,-0.2,-0.6,-0.1
2017-12-01,General,105.470868,0.1,-0.6,-0.6
2018-01-01,General,105.740105,0.3,0.3,-0.4
2018-02-01,General,106.137559,0.4,0.6,0.6
2018-03-01,General,106.235179,0.1,0.7,0.3
2018-04-01,General,106.140323,-0.1,0.6,0.5
2018-05-01,General,106.88285,0.7,1.3,1.3
2018-06-01,General,107.183083,0.3,1.6,1.7
2018-07-01,General,107.257386,0.1,1.7,1.9
2018-08-01,General,107.398976,0.1,1.8,1.9
2018-09-01,General,108.072167,0.6,2.5,2.3
2018-10-01,General,108.494936,0.4,2.9,2.8
2018-11-01,General,109.011678,0.5,3.4,3.4
2018-12-01,General,108.870514,-0.1,3.2,3.2
2019-01-01,General,108.514126,-0.3,-0.3,2.6
2019-02-01,General,108.023271,-0.5,-0.8,1.8
2019-03-01,General,108.053674,0,-0.8,1.7
2019-04-01,General,108.345848,0.3,-0.5,2.1
2019-05-01,General,108.544932,0.2,-0.3,1.6
2019-06-01,General,108.452999,-0.1,-0.4,1.2
2019-07-01,General,108.49286,0,-0.3,1.2
2019-08-01,General,108.832239,0.3,-0,1.3
2019-09-01,General,108.816647,-0,-0,0.7
2019-10-01,General,108.948766,0.1,0.1,0.4
2019-11-01,General,108.792462,-0.1,-0.1,-0.2
2019-12-01,General,108.744652,-0,-0.1,-0.1
2020-01-01,General,108.359098,-0.4,-0.4,-0.1
2020-02-01,General,108.211353,-0.1,-0.5,0.2
2020-03-01,General,108.515766,0.3,-0.2,0.4
2020-04-01,General,108.271432,-0.2,-0.4,-0.1
2020-05-01,General,108.140915,-0.1,-0.6,-0.4
2020-06-01,General,107.974709,-0.2,-0.7,-0.4
2020-07-01,General,108.550999,0.5,-0.2,0.1
2020-08-01,General,108.91762,0.3,0.2,0.1
2020-09-01,General,109.053479,0.1,0.3,0.2
2020-10-01,General,109.325709,0.2,0.5,0.3
2020-11-01,General,109.722593,0.4,0.9,0.9
2020-12-01,General,110.440773,0.7,1.6,1.6
2021-01-01,General,111.618515,1.1,1.1,3
2021-02-01,General,112.808299,1.1,2.1,4.2
2021-03-01,General,114.623015,1.6,3.8,5.6
2021-04-01,General,114.611266,-0,3.8,5.9
2021-05-01,General,115.857859,1.1,4.9,7.1
2021-06-01,General,117.973983,1.8,6.8,9.3
2021-07-01,General,119.753337,1.5,8.4,10.3
2021-08-01,General,121.969409,1.9,10.4,12
2021-09-01,General,123.389081,1.2,11.7,13.1
2021-10-01,General,124.514873,0.9,12.7,13.9
2021-11-01,General,124.97825,0.4,13.2,13.9
2021-12-01,General,125.433801,0.4,13.6,13.6
2022-01-01,General,125.108313,-0.3,-0.3,12.1
2022-02-01,General,125.677568,0.5,0.2,11.4
2022-03-01,General,127.90781,1.8,2,11.6
2022-04-01,General,129.571076,1.3,3.3,13.1
2022-05-01,General,131.757744,1.7,5,13.7
2022-06-01,General,132.259752,0.4,5.4,12.1
2022-07-01,General,134.846248,2,7.5,12.6
2022-08-01,General,134.479765,-0.3,7.2,10.3
2022-09-01,General,134.713713,0.2,7.4,9.2
2022-10-01,General,135.81764,0.8,8.3,9.1
2022-11-01,General,135.748872,-0.1,8.2,8.6
2022-12-01,General,134.248217,-1.1,7,7
2023-01-01,General,134.766156,0.4,0.4,7.7
2023-02-01,General,135.868886,0.8,1.2,8.1
2023-03-01,General,135.170708,-0.5,0.7,5.7
2023-04-01,General,135.062645,-0.1,0.6,4.2
2023-05-01,General,133.930472,-0.8,-0.2,1.6
2023-06-01,General,132.929729,-0.7,-1,0.5
2023-07-01,General,132.495731,-0.3,-1.3,-1.7
2023-08-01,General,134.231626,1.3,-0,-0.2
2023-09-01,General,134.411413,0.1,0.1,-0.2
2023-10-01,General,135.068835,0.5,0.6,-0.6
2023-11-01,General,133.811486,-0.9,-0.3,-1.4
2023-12-01,General,132.845977,-0.7,-1,-1
2024-01-01,General,131.877703,-0.7,-0.7,-2.1
2024-02-01,General,132.308899,0.3,-0.4,-2.6
2024-03-01,General,131.76008,-0.4,-0.8,-2.5
2024-04-01,General,131.583653,-0.1,-1,-2.6
2024-05-01,General,131.306379,-0.2,-1.2,-2
2024-06-01,General,131.296238,-0,-1.2,-1.2
2024-07-01,General,132.120567,0.6,-0.5,-0.3
2024-08-01,General,131.721517,-0.3,-0.8,-1.9
2024-09-01,General,131.208716,-0.4,-1.2,-2.4
2024-10-01,General,130.975843,-0.2,-1.4,-3
2024-11-01,General,131.389937,0.3,-1.1,-1.8
2024-12-01,General,131.013115,-0.3,-1.4,-1.4
2025-01-01,General,131.144459,0.1,0.1,-0.6
2025-02-01,General,130.677495,-0.4,-0.3,-1.2
2025-03-01,General,130.477715,-0.2,-0.4,-1
2025-04-01,General,130.729633,0.2,-0.2,-0.6
2025-05-01,General,130.20858,-0.4,-0.6,-0.8
2025-06-01,General,129.761743,-0.3,-1,-1.2
2025-07-01,General,128.807113,-0.7,-1.7,-2.5
2025-08-01,General,127.823104,-0.8,-2.4,-3
2025-09-01,General,127.375128,-0.4,-2.8,-2.9
2025-10-01,General,126.57744,-0.6,-3.4,-3.4
2025-11-01,General,126.085501,-0.4,-3.8,-4
2025-12-01,General,125.999904,-0.1,-3.8,-3.8
2026-01-01,General,126.084356,0.1,0.1,-3.9
2026-02-01,General,126.568178,0.4,0.5,-3.1
2026-03-01,General,130.501607,3.1,3.6,0
2026-04-01,General,132.354081,1.4,5,1.2
2014-01-01,Importado,99.97,NA,NA,NA
2014-02-01,Importado,100.24,0.3,NA,NA
2014-03-01,Importado,100.49,0.2,NA,NA
2014-04-01,Importado,100.13,-0.4,NA,NA
2014-05-01,Importado,100.03,-0.1,NA,NA
2014-06-01,Importado,99.85,-0.2,NA,NA
2014-07-01,Importado,99.78,-0.1,NA,NA
2014-08-01,Importado,99.95,0.2,NA,NA
2014-09-01,Importado,100.55,0.6,NA,NA
2014-10-01,Importado,101.33,0.8,NA,NA
2014-11-01,Importado,101.56,0.2,NA,NA
2014-12-01,Importado,101.63,0.1,NA,NA
2015-01-01,Importado,101.53,-0.1,-0.1,1.6
2015-02-01,Importado,102.25,0.7,0.6,2
2015-03-01,Importado,103.05,0.8,1.4,2.5
2015-04-01,Importado,102.84,-0.2,1.2,2.7
2015-05-01,Importado,103.24,0.4,1.6,3.2
2015-06-01,Importado,103.2,-0,1.5,3.4
2015-07-01,Importado,102.98,-0.2,1.3,3.2
2015-08-01,Importado,103.22,0.2,1.6,3.3
2015-09-01,Importado,103.15,-0.1,1.5,2.6
2015-10-01,Importado,103.19,0,1.5,1.8
2015-11-01,Importado,104.14,0.9,2.5,2.5
2015-12-01,Importado,104.48,0.3,2.8,2.8
2016-01-01,Importado,104.87,0.4,0.4,3.3
2016-02-01,Importado,105.81,0.9,1.3,3.5
2016-03-01,Importado,104.88,-0.9,0.4,1.8
2016-04-01,Importado,103.08,-1.7,-1.3,0.2
2016-05-01,Importado,103.15,0.1,-1.3,-0.1
2016-06-01,Importado,103.53,0.4,-0.9,0.3
2016-07-01,Importado,102.72,-0.8,-1.7,-0.3
2016-08-01,Importado,103.24,0.5,-1.2,0
2016-09-01,Importado,104.15,0.9,-0.3,1
2016-10-01,Importado,104.55,0.4,0.1,1.3
2016-11-01,Importado,104.7,0.1,0.2,0.5
2016-12-01,Importado,105.27,0.5,0.8,0.8
2017-01-01,Importado,104.84,-0.4,-0.4,-0
2017-02-01,Importado,103.53,-1.2,-1.7,-2.2
2017-03-01,Importado,103.3,-0.2,-1.9,-1.5
2017-04-01,Importado,102.88,-0.4,-2.3,-0.2
2017-05-01,Importado,103.09,0.2,-2.1,-0.1
2017-06-01,Importado,103.23,0.1,-1.9,-0.3
2017-07-01,Importado,102.82,-0.4,-2.3,0.1
2017-08-01,Importado,102.66,-0.2,-2.5,-0.6
2017-09-01,Importado,102.89,0.2,-2.3,-1.2
2017-10-01,Importado,103.33,0.4,-1.8,-1.2
2017-11-01,Importado,103.19,-0.1,-2,-1.4
2017-12-01,Importado,103.35,0.2,-1.8,-1.8
2018-01-01,Importado,103.43,0.1,0.1,-1.3
2018-02-01,Importado,103.74,0.3,0.4,0.2
2018-03-01,Importado,103.72,-0,0.4,0.4
2018-04-01,Importado,103.34,-0.4,-0,0.4
2018-05-01,Importado,104.51,1.1,1.1,1.4
2018-06-01,Importado,104.63,0.1,1.2,1.4
2018-07-01,Importado,104.77,0.1,1.4,1.9
2018-08-01,Importado,104.99,0.2,1.6,2.3
2018-09-01,Importado,105.52,0.5,2.1,2.6
2018-10-01,Importado,106.07,0.5,2.6,2.7
2018-11-01,Importado,106.85,0.7,3.4,3.5
2018-12-01,Importado,106.76,-0.1,3.3,3.3
2019-01-01,Importado,106.57,-0.2,-0.2,3
2019-02-01,Importado,106.04,-0.5,-0.7,2.2
2019-03-01,Importado,105.68,-0.3,-1,1.9
2019-04-01,Importado,105.63,-0,-1.1,2.2
2019-05-01,Importado,105.82,0.2,-0.9,1.3
2019-06-01,Importado,105.96,0.1,-0.7,1.3
2019-07-01,Importado,105.27,-0.7,-1.4,0.5
2019-08-01,Importado,106.26,0.9,-0.5,1.2
2019-09-01,Importado,106.15,-0.1,-0.6,0.6
2019-10-01,Importado,106.17,0,-0.6,0.1
2019-11-01,Importado,105.86,-0.3,-0.8,-0.9
2019-12-01,Importado,105.88,0,-0.8,-0.8
2020-01-01,Importado,104.95,-0.9,-0.9,-1.5
2020-02-01,Importado,105.4,0.4,-0.5,-0.6
2020-03-01,Importado,107.18,1.7,1.2,1.4
2020-04-01,Importado,105.9,-1.2,0,0.3
2020-05-01,Importado,105.64,-0.2,-0.2,-0.2
2020-06-01,Importado,105.97,0.3,0.1,0
2020-07-01,Importado,106.92,0.9,1,1.6
2020-08-01,Importado,107.41,0.5,1.4,1.1
2020-09-01,Importado,107.42,0,1.5,1.2
2020-10-01,Importado,108.11,0.6,2.1,1.8
2020-11-01,Importado,108.66,0.5,2.6,2.6
2020-12-01,Importado,109.34,0.6,3.3,3.3
2021-01-01,Importado,110.63,1.2,1.2,5.4
