FECHA,INDICADOR,IPC,MENSUAL,ACUMULADO,ANUAL
2014-01-01,Agrícola,98.95,NA,NA,NA
2014-02-01,Agrícola,100.54,1.6,NA,NA
2014-03-01,Agrícola,103.4,2.8,NA,NA
2014-04-01,Agrícola,102.72,-0.7,NA,NA
2014-05-01,Agrícola,103.24,0.5,NA,NA
2014-06-01,Agrícola,101.27,-1.9,NA,NA
2014-07-01,Agrícola,100.11,-1.1,NA,NA
2014-08-01,Agrícola,99.74,-0.4,NA,NA
2014-09-01,Agrícola,99.71,-0,NA,NA
2014-10-01,Agrícola,101.47,1.8,NA,NA
2014-11-01,Agrícola,101.54,0.1,NA,NA
2014-12-01,Agrícola,103.39,1.8,NA,NA
2015-01-01,Agrícola,101.6,-1.7,-1.7,2.7
2015-02-01,Agrícola,100.72,-0.9,-2.6,0.2
2015-03-01,Agrícola,102.45,1.7,-0.9,-0.9
2015-04-01,Agrícola,100.85,-1.6,-2.5,-1.8
2015-05-01,Agrícola,100.28,-0.6,-3,-2.9
2015-06-01,Agrícola,100.81,0.5,-2.5,-0.5
2015-07-01,Agrícola,101.18,0.4,-2.1,1.1
2015-08-01,Agrícola,98.74,-2.4,-4.5,-1
2015-09-01,Agrícola,98.86,0.1,-4.4,-0.9
2015-10-01,Agrícola,98.74,-0.1,-4.5,-2.7
2015-11-01,Agrícola,99.92,1.2,-3.4,-1.6
2015-12-01,Agrícola,100.31,0.4,-3,-3
2016-01-01,Agrícola,100.91,0.6,0.6,-0.7
2016-02-01,Agrícola,101.88,1,1.6,1.2
2016-03-01,Agrícola,101.25,-0.6,0.9,-1.2
2016-04-01,Agrícola,100.3,-0.9,-0,-0.5
2016-05-01,Agrícola,100.91,0.6,0.6,0.6
2016-06-01,Agrícola,101.51,0.6,1.2,0.7
2016-07-01,Agrícola,100.53,-1,0.2,-0.6
2016-08-01,Agrícola,100.64,0.1,0.3,1.9
2016-09-01,Agrícola,101.76,1.1,1.4,2.9
2016-10-01,Agrícola,101.47,-0.3,1.2,2.8
2016-11-01,Agrícola,100.54,-0.9,0.2,0.6
2016-12-01,Agrícola,100.77,0.2,0.5,0.5
2017-01-01,Agrícola,100.72,-0,-0,-0.2
2017-02-01,Agrícola,100.02,-0.7,-0.7,-1.8
2017-03-01,Agrícola,98.73,-1.3,-2,-2.5
2017-04-01,Agrícola,97,-1.8,-3.7,-3.3
2017-05-01,Agrícola,97.66,0.7,-3.1,-3.2
2017-06-01,Agrícola,99.15,1.5,-1.6,-2.3
2017-07-01,Agrícola,100.08,0.9,-0.7,-0.4
2017-08-01,Agrícola,97.55,-2.5,-3.2,-3.1
2017-09-01,Agrícola,98.59,1.1,-2.2,-3.1
2017-10-01,Agrícola,100.41,1.8,-0.4,-1
2017-11-01,Agrícola,99.37,-1,-1.4,-1.2
2017-12-01,Agrícola,98.57,-0.8,-2.2,-2.2
2018-01-01,Agrícola,99.95,1.4,1.4,-0.8
2018-02-01,Agrícola,100.96,1,2.4,0.9
2018-03-01,Agrícola,100.02,-0.9,1.5,1.3
2018-04-01,Agrícola,98.82,-1.2,0.3,1.9
2018-05-01,Agrícola,100.4,1.6,1.9,2.8
2018-06-01,Agrícola,98.54,-1.9,-0,-0.6
2018-07-01,Agrícola,99.47,0.9,0.9,-0.6
2018-08-01,Agrícola,100.72,1.3,2.2,3.2
2018-09-01,Agrícola,100.34,-0.4,1.8,1.8
2018-10-01,Agrícola,100.98,0.6,2.4,0.6
2018-11-01,Agrícola,101.62,0.6,3.1,2.3
2018-12-01,Agrícola,101.77,0.1,3.2,3.2
2019-01-01,Agrícola,101.6,-0.2,-0.2,1.7
2019-02-01,Agrícola,100.48,-1.1,-1.3,-0.5
2019-03-01,Agrícola,100.13,-0.3,-1.6,0.1
2019-04-01,Agrícola,99.89,-0.2,-1.8,1.1
2019-05-01,Agrícola,100.7,0.8,-1.1,0.3
2019-06-01,Agrícola,101.6,0.9,-0.2,3.1
2019-07-01,Agrícola,100.21,-1.4,-1.5,0.7
2019-08-01,Agrícola,101.73,1.5,-0,1
2019-09-01,Agrícola,100.43,-1.3,-1.3,0.1
2019-10-01,Agrícola,100.89,0.5,-0.9,-0.1
2019-11-01,Agrícola,100.32,-0.6,-1.4,-1.3
2019-12-01,Agrícola,101.37,1,-0.4,-0.4
2020-01-01,Agrícola,100.9,-0.5,-0.5,-0.7
2020-02-01,Agrícola,101.23,0.3,-0.1,0.7
2020-03-01,Agrícola,103.81,2.5,2.4,3.7
2020-04-01,Agrícola,103,-0.8,1.6,3.1
2020-05-01,Agrícola,103.31,0.3,1.9,2.6
2020-06-01,Agrícola,103.54,0.2,2.1,1.9
2020-07-01,Agrícola,104.4,0.8,3,4.2
2020-08-01,Agrícola,103.93,-0.5,2.5,2.2
2020-09-01,Agrícola,103.96,0,2.6,3.5
2020-10-01,Agrícola,105.01,1,3.6,4.1
2020-11-01,Agrícola,106.19,1.1,4.8,5.9
2020-12-01,Agrícola,107.77,1.5,6.3,6.3
2021-01-01,Agrícola,108.78,0.9,0.9,7.8
2021-02-01,Agrícola,111.29,2.3,3.3,9.9
2021-03-01,Agrícola,113.46,1.9,5.3,9.3
2021-04-01,Agrícola,115.08,1.4,6.8,11.7
2021-05-01,Agrícola,117.83,2.4,9.3,14.1
2021-06-01,Agrícola,121.73,3.3,13,17.6
2021-07-01,Agrícola,124.48,2.3,15.5,19.2
2021-08-01,Agrícola,130.48,4.8,21.1,25.5
2021-09-01,Agrícola,131.14,0.5,21.7,26.1
2021-10-01,Agrícola,133.54,1.8,23.9,27.2
2021-11-01,Agrícola,134.03,0.4,24.4,26.2
2021-12-01,Agrícola,135.65,1.2,25.9,25.9
