FECHA,INDICADOR,IPC,MENSUAL,ACUMULADO,ANUAL
2014-01-01,Agrícola,99.06,NA,NA,NA
2014-02-01,Agrícola,99.64,0.6,NA,NA
2014-03-01,Agrícola,102.01,2.4,NA,NA
2014-04-01,Agrícola,104.18,2.1,NA,NA
2014-05-01,Agrícola,108.2,3.9,NA,NA
2014-06-01,Agrícola,107.21,-0.9,NA,NA
2014-07-01,Agrícola,108.11,0.8,NA,NA
2014-08-01,Agrícola,108.39,0.3,NA,NA
2014-09-01,Agrícola,106.6,-1.7,NA,NA
2014-10-01,Agrícola,106.73,0.1,NA,NA
2014-11-01,Agrícola,106.45,-0.3,NA,NA
2014-12-01,Agrícola,106.29,-0.2,NA,NA
2015-01-01,Agrícola,110.22,3.7,3.7,11.3
2015-02-01,Agrícola,110.51,0.3,4,10.9
2015-03-01,Agrícola,111.93,1.3,5.3,9.7
2015-04-01,Agrícola,112.26,0.3,5.6,7.8
2015-05-01,Agrícola,108.86,-3,2.4,0.6
2015-06-01,Agrícola,110.55,1.6,4,3.1
2015-07-01,Agrícola,112.58,1.8,5.9,4.1
2015-08-01,Agrícola,114.75,1.9,8,5.9
2015-09-01,Agrícola,118.94,3.7,11.9,11.6
2015-10-01,Agrícola,119.97,0.9,12.9,12.4
2015-11-01,Agrícola,123.14,2.6,15.9,15.7
2015-12-01,Agrícola,124.23,0.9,16.9,16.9
2016-01-01,Agrícola,125.54,1.1,1.1,13.9
2016-02-01,Agrícola,124.26,-1,0,12.4
2016-03-01,Agrícola,120.89,-2.7,-2.7,8
2016-04-01,Agrícola,118.49,-2,-4.6,5.5
2016-05-01,Agrícola,114.68,-3.2,-7.7,5.3
2016-06-01,Agrícola,115.9,1.1,-6.7,4.8
2016-07-01,Agrícola,117.55,1.4,-5.4,4.4
2016-08-01,Agrícola,120.69,2.7,-2.8,5.2
2016-09-01,Agrícola,124.53,3.2,0.2,4.7
2016-10-01,Agrícola,126.34,1.5,1.7,5.3
2016-11-01,Agrícola,125.93,-0.3,1.4,2.3
2016-12-01,Agrícola,126.4,0.4,1.7,1.7
2017-01-01,Agrícola,127.55,0.9,0.9,1.6
2017-02-01,Agrícola,125.99,-1.2,-0.3,1.4
2017-03-01,Agrícola,129.38,2.7,2.4,7
2017-04-01,Agrícola,128.4,-0.8,1.6,8.4
2017-05-01,Agrícola,125.6,-2.2,-0.6,9.5
2017-06-01,Agrícola,121.82,-3,-3.6,5.1
2017-07-01,Agrícola,122.98,1,-2.7,4.6
2017-08-01,Agrícola,124.2,1,-1.7,2.9
2017-09-01,Agrícola,125.51,1.1,-0.7,0.8
2017-10-01,Agrícola,121.38,-3.3,-4,-3.9
2017-11-01,Agrícola,118.59,-2.3,-6.2,-5.8
2017-12-01,Agrícola,116,-2.2,-8.2,-8.2
2018-01-01,Agrícola,114.74,-1.1,-1.1,-10
2018-02-01,Agrícola,113.27,-1.3,-2.4,-10.1
2018-03-01,Agrícola,113.41,0.1,-2.2,-12.3
2018-04-01,Agrícola,113.56,0.1,-2.1,-11.6
2018-05-01,Agrícola,112.06,-1.3,-3.4,-10.8
2018-06-01,Agrícola,111.83,-0.2,-3.6,-8.2
2018-07-01,Agrícola,113.04,1.1,-2.6,-8.1
2018-08-01,Agrícola,114.21,1,-1.5,-8
2018-09-01,Agrícola,117.2,2.6,1,-6.6
2018-10-01,Agrícola,119.23,1.7,2.8,-1.8
2018-11-01,Agrícola,122.22,2.5,5.4,3.1
2018-12-01,Agrícola,122.56,0.3,5.7,5.7
2019-01-01,Agrícola,123.35,0.6,0.6,7.5
2019-02-01,Agrícola,122.22,-0.9,-0.3,7.9
2019-03-01,Agrícola,121.56,-0.5,-0.8,7.2
2019-04-01,Agrícola,124.18,2.2,1.3,9.4
2019-05-01,Agrícola,122.36,-1.5,-0.2,9.2
2019-06-01,Agrícola,121.09,-1,-1.2,8.3
2019-07-01,Agrícola,121.22,0.1,-1.1,7.2
2019-08-01,Agrícola,121.12,-0.1,-1.2,6.1
2019-09-01,Agrícola,122.27,0.9,-0.2,4.3
2019-10-01,Agrícola,123.26,0.8,0.6,3.4
2019-11-01,Agrícola,123.54,0.2,0.8,1.1
2019-12-01,Agrícola,122.76,-0.6,0.2,0.2
2020-01-01,Agrícola,120.18,-2.1,-2.1,-2.6
2020-02-01,Agrícola,116.65,-2.9,-5,-4.6
2020-03-01,Agrícola,115.51,-1,-5.9,-5
2020-04-01,Agrícola,119.74,3.7,-2.5,-3.6
2020-05-01,Agrícola,122.53,2.3,-0.2,0.1
2020-06-01,Agrícola,121.83,-0.6,-0.8,0.6
2020-07-01,Agrícola,121,-0.7,-1.4,-0.2
2020-08-01,Agrícola,119.35,-1.4,-2.8,-1.5
2020-09-01,Agrícola,119.27,-0.1,-2.8,-2.5
2020-10-01,Agrícola,119.57,0.3,-2.6,-3
2020-11-01,Agrícola,120.18,0.5,-2.1,-2.7
2020-12-01,Agrícola,120.37,0.2,-1.9,-1.9
2021-01-01,Agrícola,122.02,1.4,1.4,1.5
2021-02-01,Agrícola,123.87,1.5,2.9,6.2
2021-03-01,Agrícola,126.75,2.3,5.3,9.7
2021-04-01,Agrícola,126.62,-0.1,5.2,5.7
2021-05-01,Agrícola,125.64,-0.8,4.4,2.5
2021-06-01,Agrícola,125.94,0.2,4.6,3.4
2021-07-01,Agrícola,128.14,1.7,6.5,5.9
2021-08-01,Agrícola,130.63,1.9,8.5,9.5
2021-09-01,Agrícola,131.99,1,9.7,10.7
2021-10-01,Agrícola,134.68,2,11.9,12.6
2021-11-01,Agrícola,135.3,0.5,12.4,12.6
2021-12-01,Agrícola,135.45,0.1,12.5,12.5
2022-01-01,Agrícola,135.85,0.3,0.3,11.3
2022-02-01,Agrícola,138.49,1.9,2.2,11.8
2022-03-01,Agrícola,141.08,1.9,4.2,11.3
2022-04-01,Agrícola,145.17,2.9,7.2,14.7
2022-05-01,Agrícola,146.14,0.7,7.9,16.3
2022-06-01,Agrícola,148.23,1.4,9.4,17.7
2022-07-01,Agrícola,151.93,2.5,12.2,18.6
2022-08-01,Agrícola,153.09,0.8,13,17.2
2022-09-01,Agrícola,155.75,1.7,15,18
2022-10-01,Agrícola,160.03,2.7,18.1,18.8
2022-11-01,Agrícola,163.2,2,20.5,20.6
2022-12-01,Agrícola,167.1,2.4,23.4,23.4
2023-01-01,Agrícola,174.03,4.1,4.1,28.1
2023-02-01,Agrícola,175.31,0.7,4.9,26.6
2023-03-01,Agrícola,170.39,-2.8,2,20.8
2023-04-01,Agrícola,166.68,-2.2,-0.3,14.8
2023-05-01,Agrícola,163.77,-1.7,-2,12.1
2023-06-01,Agrícola,164.97,0.7,-1.3,11.3
2023-07-01,Agrícola,170.07,3.1,1.8,11.9
2023-08-01,Agrícola,177.87,4.6,6.4,16.2
2023-09-01,Agrícola,174.08,-2.1,4.2,11.8
2023-10-01,Agrícola,172.45,-0.9,3.2,7.8
2023-11-01,Agrícola,169.53,-1.7,1.5,3.9
2023-12-01,Agrícola,168.23,-0.8,0.7,0.7
2024-01-01,Agrícola,165.12,-1.8,-1.8,-5.1
2024-02-01,Agrícola,160.99,-2.5,-4.3,-8.2
2024-03-01,Agrícola,164.37,2.1,-2.3,-3.5
2024-04-01,Agrícola,167.71,2,-0.3,0.6
2024-05-01,Agrícola,167.21,-0.3,-0.6,2.1
2024-06-01,Agrícola,169.28,1.2,0.6,2.6
2024-07-01,Agrícola,171.4,1.3,1.9,0.8
2024-08-01,Agrícola,172.58,0.7,2.6,-3
2024-09-01,Agrícola,169.76,-1.6,0.9,-2.5
2024-10-01,Agrícola,170.06,0.2,1.1,-1.4
2024-11-01,Agrícola,168.72,-0.8,0.3,-0.5
2024-12-01,Agrícola,167.96,-0.5,-0.2,-0.2
2025-01-01,Agrícola,169.17,0.7,0.7,2.5
2025-02-01,Agrícola,170.44,0.8,1.5,5.9
2025-03-01,Agrícola,173.32,1.7,3.2,5.4
2025-04-01,Agrícola,175.03,1,4.2,4.4
2025-05-01,Agrícola,172.97,-1.2,3,3.4
2025-06-01,Agrícola,170.75,-1.3,1.7,0.9
2025-07-01,Agrícola,170.95,0.1,1.8,-0.3
2025-08-01,Agrícola,169.02,-1.1,0.6,-2.1
2025-09-01,Agrícola,170.31,0.8,1.4,0.3
2025-10-01,Agrícola,170.62,0.2,1.6,0.3
2025-11-01,Agrícola,168.43,-1.3,0.3,-0.2
2025-12-01,Agrícola,166.2,-1.3,-1,-1
2026-01-01,Agrícola,169.68,2.1,2.1,0.3
2026-02-01,Agrícola,168,-1,1.1,-1.4
2026-03-01,Agrícola,174.87,4.1,5.2,0.9
2026-04-01,Agrícola,179.6,2.7,8.1,2.6
2014-01-01,Alimentos y Bebidas,100.27,NA,NA,NA
2014-02-01,Alimentos y Bebidas,100.29,0,NA,NA
2014-03-01,Alimentos y Bebidas,100.38,0.1,NA,NA
2014-04-01,Alimentos y Bebidas,100.38,0,NA,NA
2014-05-01,Alimentos y Bebidas,100.3,-0.1,NA,NA
2014-06-01,Alimentos y Bebidas,100.25,-0,NA,NA
2014-07-01,Alimentos y Bebidas,100.23,-0,NA,NA
2014-08-01,Alimentos y Bebidas,100.62,0.4,NA,NA
2014-09-01,Alimentos y Bebidas,101.25,0.6,NA,NA
2014-10-01,Alimentos y Bebidas,101.8,0.5,NA,NA
2014-11-01,Alimentos y Bebidas,102.26,0.5,NA,NA
2014-12-01,Alimentos y Bebidas,102.64,0.4,NA,NA
2015-01-01,Alimentos y Bebidas,102.68,0,0,2.4
2015-02-01,Alimentos y Bebidas,103,0.3,0.4,2.7
2015-03-01,Alimentos y Bebidas,102.99,-0,0.3,2.6
2015-04-01,Alimentos y Bebidas,103.02,0,0.4,2.6
2015-05-01,Alimentos y Bebidas,103.4,0.4,0.7,3.1
2015-06-01,Alimentos y Bebidas,103.86,0.4,1.2,3.6
2015-07-01,Alimentos y Bebidas,104.05,0.2,1.4,3.8
2015-08-01,Alimentos y Bebidas,104.28,0.2,1.6,3.6
2015-09-01,Alimentos y Bebidas,104.33,0,1.6,3
2015-10-01,Alimentos y Bebidas,104.42,0.1,1.7,2.6
2015-11-01,Alimentos y Bebidas,104.76,0.3,2.1,2.4
2015-12-01,Alimentos y Bebidas,104.99,0.2,2.3,2.3
2016-01-01,Alimentos y Bebidas,105.08,0.1,0.1,2.3
2016-02-01,Alimentos y Bebidas,105.11,0,0.1,2
2016-03-01,Alimentos y Bebidas,105.23,0.1,0.2,2.2
2016-04-01,Alimentos y Bebidas,105.27,0,0.3,2.2
2016-05-01,Alimentos y Bebidas,105.47,0.2,0.5,2
2016-06-01,Alimentos y Bebidas,105.72,0.2,0.7,1.8
2016-07-01,Alimentos y Bebidas,105.71,-0,0.7,1.6
2016-08-01,Alimentos y Bebidas,106.11,0.4,1.1,1.8
2016-09-01,Alimentos y Bebidas,106.16,0,1.1,1.8
2016-10-01,Alimentos y Bebidas,106.66,0.5,1.6,2.1
2016-11-01,Alimentos y Bebidas,106.77,0.1,1.7,1.9
2016-12-01,Alimentos y Bebidas,107.49,0.7,2.4,2.4
2017-01-01,Alimentos y Bebidas,107.55,0.1,0.1,2.4
2017-02-01,Alimentos y Bebidas,107.58,0,0.1,2.3
2017-03-01,Alimentos y Bebidas,107.98,0.4,0.5,2.6
2017-04-01,Alimentos y Bebidas,107.99,0,0.5,2.6
2017-05-01,Alimentos y Bebidas,108.17,0.2,0.6,2.6
2017-06-01,Alimentos y Bebidas,107.83,-0.3,0.3,2
2017-07-01,Alimentos y Bebidas,107.78,-0,0.3,2
2017-08-01,Alimentos y Bebidas,107.91,0.1,0.4,1.7
2017-09-01,Alimentos y Bebidas,107.32,-0.5,-0.2,1.1
2017-10-01,Alimentos y Bebidas,107.36,0,-0.1,0.7
2017-11-01,Alimentos y Bebidas,107.4,0,-0.1,0.6
2017-12-01,Alimentos y Bebidas,107.61,0.2,0.1,0.1
2018-01-01,Alimentos y Bebidas,107.85,0.2,0.2,0.3
2018-02-01,Alimentos y Bebidas,108.19,0.3,0.5,0.6
2018-03-01,Alimentos y Bebidas,108.48,0.3,0.8,0.5
2018-04-01,Alimentos y Bebidas,108.38,-0.1,0.7,0.4
2018-05-01,Alimentos y Bebidas,109.11,0.7,1.4,0.9
2018-06-01,Alimentos y Bebidas,109.31,0.2,1.6,1.4
2018-07-01,Alimentos y Bebidas,109.13,-0.2,1.4,1.3
2018-08-01,Alimentos y Bebidas,109.31,0.2,1.6,1.3
2018-09-01,Alimentos y Bebidas,109.33,0,1.6,1.9
2018-10-01,Alimentos y Bebidas,109.1,-0.2,1.4,1.6
2018-11-01,Alimentos y Bebidas,109.34,0.2,1.6,1.8
2018-12-01,Alimentos y Bebidas,109.44,0.1,1.7,1.7
2019-01-01,Alimentos y Bebidas,109.34,-0.1,-0.1,1.4
2019-02-01,Alimentos y Bebidas,109.44,0.1,0,1.2
2019-03-01,Alimentos y Bebidas,109.18,-0.2,-0.2,0.6
2019-04-01,Alimentos y Bebidas,109.15,-0,-0.3,0.7
2019-05-01,Alimentos y Bebidas,109.15,0,-0.3,0
2019-06-01,Alimentos y Bebidas,109.04,-0.1,-0.4,-0.2
2019-07-01,Alimentos y Bebidas,109.9,0.8,0.4,0.7
2019-08-01,Alimentos y Bebidas,109.89,-0,0.4,0.5
2019-09-01,Alimentos y Bebidas,109.93,0,0.4,0.5
2019-10-01,Alimentos y Bebidas,109.82,-0.1,0.3,0.7
