PRODUCTO,DEPARTAMENTO,PROVINCIA,DISTRITO,P_PROMEDIO,P_MIN,P_MAX,P_SD,N_GRIFOS
GASOHOL PREMIUM,CALLAO,CALLAO,BELLAVISTA,22.596,19.26,25.99,2.9925875091632648,5
GASOHOL PREMIUM,CALLAO,CALLAO,CALLAO,21.98179487179487,19.19,25.99,1.6968467222823564,39
GASOHOL PREMIUM,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,25.79,25.79,25.79,0,1
GASOHOL PREMIUM,CALLAO,CALLAO,LA PERLA,20.975,20.69,21.39,0.23097618924902183,6
GASOHOL PREMIUM,CALLAO,CALLAO,LA PUNTA,25.59,25.59,25.59,0,1
GASOHOL PREMIUM,CALLAO,CALLAO,VENTANILLA,21.37,19.55,24.99,1.2608727136392468,21
GASOHOL PREMIUM,LIMA,LIMA,ANCON,21.016000000000002,20.3,22.99,1.1688584174312977,5
GASOHOL PREMIUM,LIMA,LIMA,ATE,21.54685185185185,19.42,25.99,1.7339102108089242,54
GASOHOL PREMIUM,LIMA,LIMA,BARRANCO,23.99,21.99,25.99,2,3
GASOHOL PREMIUM,LIMA,LIMA,BREÑA,21.165555555555553,19.45,23.99,1.4507507634937773,9
GASOHOL PREMIUM,LIMA,LIMA,CARABAYLLO,20.9905,19.75,23.99,0.7604888778498561,40
GASOHOL PREMIUM,LIMA,LIMA,CHACLACAYO,21.61285714285714,19.89,25.49,1.812233560055236,7
GASOHOL PREMIUM,LIMA,LIMA,CHORRILLOS,22.724999999999998,20.77,25.99,1.9009042169728756,20
GASOHOL PREMIUM,LIMA,LIMA,CIENEGUILLA,21.419999999999998,20.5,23.9,1.4162450352957987,5
GASOHOL PREMIUM,LIMA,LIMA,COMAS,21.486,20.23,22.99,0.8074187265601409,25
GASOHOL PREMIUM,LIMA,LIMA,EL AGUSTINO,22.53625,20.69,25.99,1.7596504320054993,8
GASOHOL PREMIUM,LIMA,LIMA,INDEPENDENCIA,22.715,20.98,25.99,1.6615354344701767,12
GASOHOL PREMIUM,LIMA,LIMA,JESUS MARIA,21.31222222222222,19.79,25.99,2.1434655221030368,9
