TIPO,ENTIDAD,MONEDA,TC,RESULTADO_NETO
BANCA MULTIPLE,Banco BBVA Perú,MN,3.4909999999999997,250510.66449
BANCA MULTIPLE,Banco BBVA Perú,ME,3.4909999999999997,472189.49522000004
BANCA MULTIPLE,Banco BBVA Perú,TOTAL,3.4909999999999997,722700.15971
BANCA MULTIPLE,BANCOM,MN,3.4909999999999997,7526.25351
BANCA MULTIPLE,BANCOM,ME,3.4909999999999997,1433.33974
BANCA MULTIPLE,BANCOM,TOTAL,3.4909999999999997,8959.59325
BANCA MULTIPLE,Banco de Crédito del Perú,MN,3.4909999999999997,1107783.37702
BANCA MULTIPLE,Banco de Crédito del Perú,ME,3.4909999999999997,841706.05761
BANCA MULTIPLE,Banco de Crédito del Perú,TOTAL,3.4909999999999997,1949489.43463
BANCA MULTIPLE,Banco Pichincha,MN,3.4909999999999997,3068.7922200000003
BANCA MULTIPLE,Banco Pichincha,ME,3.4909999999999997,8011.2779199999995
BANCA MULTIPLE,Banco Pichincha,TOTAL,3.4909999999999997,11080.07014
BANCA MULTIPLE,Banco Interamericano de Finanzas,MN,3.4909999999999997,5392.744809999999
BANCA MULTIPLE,Banco Interamericano de Finanzas,ME,3.4909999999999997,66351.22384
BANCA MULTIPLE,Banco Interamericano de Finanzas,TOTAL,3.4909999999999997,71743.96865000001
BANCA MULTIPLE,Scotiabank Perú,MN,3.4909999999999997,216053.11605
BANCA MULTIPLE,Scotiabank Perú,ME,3.4909999999999997,171221.23963999999
BANCA MULTIPLE,Scotiabank Perú,TOTAL,3.4909999999999997,387274.35569
BANCA MULTIPLE,Citibank,MN,3.4909999999999997,109537.62337
BANCA MULTIPLE,Citibank,ME,3.4909999999999997,-56316.751729999996
BANCA MULTIPLE,Citibank,TOTAL,3.4909999999999997,53220.87164
BANCA MULTIPLE,Interbank,MN,3.4909999999999997,349651.04573
BANCA MULTIPLE,Interbank,ME,3.4909999999999997,117679.43781999999
BANCA MULTIPLE,Interbank,TOTAL,3.4909999999999997,467330.48355
BANCA MULTIPLE,Mibanco,MN,3.4909999999999997,174045.85505
BANCA MULTIPLE,Mibanco,ME,3.4909999999999997,7935.4879
BANCA MULTIPLE,Mibanco,TOTAL,3.4909999999999997,181981.34295
BANCA MULTIPLE,Banco GNB,MN,3.4909999999999997,-4431.06435
BANCA MULTIPLE,Banco GNB,ME,3.4909999999999997,21909.23233
BANCA MULTIPLE,Banco GNB,TOTAL,3.4909999999999997,17478.167980000002
BANCA MULTIPLE,Banco Falabella Perú,MN,3.4909999999999997,103169.2299
BANCA MULTIPLE,Banco Falabella Perú,ME,3.4909999999999997,-25877.77091
BANCA MULTIPLE,Banco Falabella Perú,TOTAL,3.4909999999999997,77291.45899
BANCA MULTIPLE,Banco Santander Perú,MN,3.4909999999999997,-23990.31341
BANCA MULTIPLE,Banco Santander Perú,ME,3.4909999999999997,88058.41326
BANCA MULTIPLE,Banco Santander Perú,TOTAL,3.4909999999999997,64068.09985
BANCA MULTIPLE,Banco Ripley,MN,3.4909999999999997,38469.771609999996
BANCA MULTIPLE,Banco Ripley,ME,3.4909999999999997,-18447.01898
BANCA MULTIPLE,Banco Ripley,TOTAL,3.4909999999999997,20022.75263
BANCA MULTIPLE,Alfin Banco,MN,3.4909999999999997,11250.76952
BANCA MULTIPLE,Alfin Banco,ME,3.4909999999999997,-3147.63781
BANCA MULTIPLE,Alfin Banco,TOTAL,3.4909999999999997,8103.13171
BANCA MULTIPLE,Banco ICBC,MN,3.4909999999999997,2749.58447
BANCA MULTIPLE,Banco ICBC,ME,3.4909999999999997,8505.62369
BANCA MULTIPLE,Banco ICBC,TOTAL,3.4909999999999997,11255.20816
BANCA MULTIPLE,Bank of China,MN,3.4909999999999997,2886.35065
BANCA MULTIPLE,Bank of China,ME,3.4909999999999997,2136.9368999999997
BANCA MULTIPLE,Bank of China,TOTAL,3.4909999999999997,5023.28755
BANCA MULTIPLE,Banco BCI Perú,MN,3.4909999999999997,-32172.41595
BANCA MULTIPLE,Banco BCI Perú,ME,3.4909999999999997,56532.02509
BANCA MULTIPLE,Banco BCI Perú,TOTAL,3.4909999999999997,24359.60914
BANCA MULTIPLE,Compartamos Banco,MN,3.4909999999999997,90023.37862
BANCA MULTIPLE,Compartamos Banco,ME,3.4909999999999997,-6177.63224
BANCA MULTIPLE,Compartamos Banco,TOTAL,3.4909999999999997,83845.74638
BANCA MULTIPLE,Santander Consumer Bank,MN,3.4909999999999997,43880.31968
BANCA MULTIPLE,Santander Consumer Bank,ME,3.4909999999999997,-15941.47249
BANCA MULTIPLE,Santander Consumer Bank,TOTAL,3.4909999999999997,27938.84719
BANCA MULTIPLE,Total Banca Múltiple,MN,3.4909999999999997,2455405.082990001
BANCA MULTIPLE,Total Banca Múltiple,ME,3.4909999999999997,1737761.5068000006
BANCA MULTIPLE,Total Banca Múltiple,TOTAL,3.4909999999999997,4193166.58979
BANCA MULTIPLE,Banco de Crédito con Sucursales en el Exterior,MN,3.4909999999999997,1107783.37702
BANCA MULTIPLE,Banco de Crédito con Sucursales en el Exterior,ME,3.4909999999999997,841706.05756
BANCA MULTIPLE,Banco de Crédito con Sucursales en el Exterior,TOTAL,3.4909999999999997,1949489.43458
BANCA MULTIPLE,"Total Banca Múltiple 
Incluye Sucursales en el Exterior",MN,3.4909999999999997,2455405.082990001
BANCA MULTIPLE,"Total Banca Múltiple 
Incluye Sucursales en el Exterior",ME,3.4909999999999997,1737761.5067500006
BANCA MULTIPLE,"Total Banca Múltiple 
Incluye Sucursales en el Exterior",TOTAL,3.4909999999999997,4193166.5897399997
EMPRESA FINANCIERA,Financiera Confianza,MN,3.4909999999999997,18861.90593
EMPRESA FINANCIERA,Financiera Confianza,ME,3.4909999999999997,60.62057
EMPRESA FINANCIERA,Financiera Confianza,TOTAL,3.4909999999999997,18922.5265
EMPRESA FINANCIERA,Financiera Efectiva,MN,3.4909999999999997,30664.102300000002
EMPRESA FINANCIERA,Financiera Efectiva,ME,3.4909999999999997,-2213.83135
EMPRESA FINANCIERA,Financiera Efectiva,TOTAL,3.4909999999999997,28450.27095
